Input,Output
spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.,Was this a friend you were in love with_comma_ or just a best friend?
only people in the world. <sep> Was this a friend you were in love with_comma_ or just a best friend?,This was a best friend. I miss her.
friend you were in love with_comma_ or just a best friend? <sep> This was a best friend. I miss her.,Where has she gone?
with_comma_ or just a best friend? <sep> This was a best friend. I miss her. <sep> Where has she gone?,We no longer talk.
friend? <sep> This was a best friend. I miss her. <sep> Where has she gone? <sep> We no longer talk.,Oh was this something that happened because of an argument?
 it feels like hitting to blank wall when i see the darkness,Oh ya? I don't really see how
it feels like hitting to blank wall when i see the darkness <sep> Oh ya? I don't really see how,dont you feel so.. its a wonder 
see the darkness <sep> Oh ya? I don't really see how <sep> dont you feel so.. its a wonder ,I do actually hit blank walls a lot of times but i get by
so.. its a wonder  <sep> I do actually hit blank walls a lot of times but i get by, i virtually thought so.. and i used to get sweatings
a lot of times but i get by <sep>  i virtually thought so.. and i used to get sweatings,Wait what are sweatings
Hi how are you doing today,doing good.. how about you
Hi how are you doing today <sep> doing good.. how about you,Im good_comma_ trying to understand how someone can feel like hitting a blank wall when they see the darkness
<sep> Im good_comma_ trying to understand how someone can feel like hitting a blank wall when they see the darkness,it's quite strange that you didnt imagine it
feel like hitting a blank wall when they see the darkness <sep> it's quite strange that you didnt imagine it,i dont imagine feeling a lot_comma_ maybe your on to something
I have never cheated on my wife.,And thats something you should never do_comma_ good on you. 
I have never cheated on my wife. <sep> And thats something you should never do_comma_ good on you. ,Yea it hasn't been easy but I am proud I haven't
you should never do_comma_ good on you.  <sep> Yea it hasn't been easy but I am proud I haven't,What do you mean it hasn't been easy? How close have you come to cheating? 
always make me sweat bullets_comma_ makes me uncomfortable in general to be looked at under a microscope like that. ,Don't be nervous. Just be prepared.
uncomfortable in general to be looked at under a microscope like that.  <sep> Don't be nervous. Just be prepared.,I feel like getting prepared and then having a curve ball thrown at you throws you off. 
prepared. <sep> I feel like getting prepared and then having a curve ball thrown at you throws you off. ,Yes but if you stay calm it will be ok.
curve ball thrown at you throws you off.  <sep> Yes but if you stay calm it will be ok.,It's hard to stay clam. How do you do it? 
Hi_comma_ this year_comma_ I was the first over 300 students at my enginering school,Sounds great! So what's your major?
this year_comma_ I was the first over 300 students at my enginering school <sep> Sounds great! So what's your major?,It is computer science. I am very happy of this achievement and my family is very proud.
your major? <sep> It is computer science. I am very happy of this achievement and my family is very proud.,Well pleased. You should be having brains_comma_man!That's a tough course_comma_i hear.
I lost my job last year and got really angry.,I am sorry to hear that. Did it happen out of the blue?
last year and got really angry. <sep> I am sorry to hear that. Did it happen out of the blue?,Yes_comma_ it was a complete surprise.
I am sorry to hear that. Did it happen out of the blue? <sep> Yes_comma_ it was a complete surprise.,I am sorry to hear that. I hope it turned out to be a blessing in decise.
During christmas a few years ago_comma_ I did not get any presents.,Wow_comma_ that must be terrible_comma_ I cannot imagine_comma_ I lvoe christmas
years ago_comma_ I did not get any presents. <sep> Wow_comma_ that must be terrible_comma_ I cannot imagine_comma_ I lvoe christmas,Since that day christmas has not been a good time for me. As I have no family_comma_ christmas is always the worst.
day christmas has not been a good time for me. As I have no family_comma_ christmas is always the worst.,Wow_comma_ I am sorry to hear that_comma_ I wish I could make it a better holiday for you!
worst. <sep> Wow_comma_ I am sorry to hear that_comma_ I wish I could make it a better holiday for you!,Some days are just days that you never forget. I wish you could as well.
My coworker is allowed to work remotely_comma_ but I am not...,I work remotely_comma_ I wish that you could do something like that as well.
remotely_comma_ but I am not... <sep> I work remotely_comma_ I wish that you could do something like that as well.,I do too_comma_ it is unfortnuate because_comma_ unbiased_comma_ I am our best performer_comma_ so it is curious
as well. <sep> I do too_comma_ it is unfortnuate because_comma_ unbiased_comma_ I am our best performer_comma_ so it is curious,Sometimes in life_comma_ it is not about performance. Some people just get a shiner spoon.
bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,Thats a sweet man_comma_ I hope you acknowledged his kind gesture. 
from behind giving me back my wallet. <sep> Thats a sweet man_comma_ I hope you acknowledged his kind gesture. ,Yes_comma_ I did. I was so grateful because I have a lot of money in my wallet.
gesture.  <sep> Yes_comma_ I did. I was so grateful because I have a lot of money in my wallet.,Their aren't that many well rounded people in the world these days so when you see one you should always show appreciation! 
get rejected all the time but it shouldn't be an excuse to let it dissuade you from reaching your goals.,What happened?
the time but it shouldn't be an excuse to let it dissuade you from reaching your goals. <sep> What happened?,Got rejected from a place I wanted to work_comma_ not once but three times 
goals. <sep> What happened? <sep> Got rejected from a place I wanted to work_comma_ not once but three times ,I am sorry to hear that. I hope you find a better opportunity. Did you know why they rejected you?
I am sorry to hear that. I hope you find a better opportunity. Did you know why they rejected you?,Thanks_comma_ they gave me the same generic lines you always hear. 
I had to board my entire house when the hurricane was coming.,WOW! Did it do any damage?
I had to board my entire house when the hurricane was coming. <sep> WOW! Did it do any damage?,No luckily the house was ok.
house when the hurricane was coming. <sep> WOW! Did it do any damage? <sep> No luckily the house was ok.,That is great. I would have been scared to death. Was it recent?
Once when I was in preschool_comma_ my pants fell down in front of the whole class_comma_ I was so embarassed,haha yeah that would be very bad !
down in front of the whole class_comma_ I was so embarassed <sep> haha yeah that would be very bad !,It was_comma_ I almost cried cause everyone was laughing at me
haha yeah that would be very bad ! <sep> It was_comma_ I almost cried cause everyone was laughing at me,Oh no _comma_ sorry to hear that happened to you :(
I never thought things would go like this.,What happened for you to feel that way?
I never thought things would go like this. <sep> What happened for you to feel that way?,I was at the beach and a hurricane changed track and was coming straight at us. My boyfriend didnt want to leave because we were on the second day only of our vacation.
straight at us. My boyfriend didnt want to leave because we were on the second day only of our vacation.,Oh that does sound terrible. What did you guys decide to do?
the second day only of our vacation. <sep> Oh that does sound terrible. What did you guys decide to do?,Well we ended up leaving I was too scared to stay and was really upset.
year one evening my family was at home when a tree fell on the house and broke through the ceiling.,That's very scary. I hope no one got hurt.
tree fell on the house and broke through the ceiling. <sep> That's very scary. I hope no one got hurt.,We were OK_comma_ though the tree broke through only a few feet away from my daughter.
one got hurt. <sep> We were OK_comma_ though the tree broke through only a few feet away from my daughter.,So happy everyone was fine!! Everything else can be fixed.
through only a few feet away from my daughter. <sep> So happy everyone was fine!! Everything else can be fixed.,Indeed. We were out of the house for five months while repairs were being done_comma_ but now the house is better than ever.
out of the house for five months while repairs were being done_comma_ but now the house is better than ever.,So good to hear. Might want to trim some trees lol
So last week we were watching the world cup_comma_ and lo and behold_comma_ Croatia beat the host country_comma_ Russia,I saw that game. They won on penalty kicks!
and lo and behold_comma_ Croatia beat the host country_comma_ Russia <sep> I saw that game. They won on penalty kicks!,Yes! Both countries were not about to let each other win
saw that game. They won on penalty kicks! <sep> Yes! Both countries were not about to let each other win,It was very tense. The other game with England and Sweden was not nearly as nerve-wracking.
each other win <sep> It was very tense. The other game with England and Sweden was not nearly as nerve-wracking.,You're right. I prefer nerve-wrecking matches. When both teams are great_comma_ the tension really builds.
a co work always asking me questions about how to use her mobile. It is almost always the same questions.,It must be so frustrating to have to answer the same thing over and over. Is she older?
questions. <sep> It must be so frustrating to have to answer the same thing over and over. Is she older?,Yes_comma_ she is. She is telling that all the cell phone that she has been using have deleting her contacts.
Yes_comma_ she is. She is telling that all the cell phone that she has been using have deleting her contacts.,My aunt does the same thing! I think what she is doing is accidentally deleting texts_comma_ and she doesn't understand how to check her contacts list. What do you think is happening with your co-worker?
truck all weekend. Spent $215 on parts and a special tool. Still did not fix the miss in the engine.,What is the problem with the engine?
a special tool. Still did not fix the miss in the engine. <sep> What is the problem with the engine?,It has a miss. Sometimes when you are driving it sputters and jerks and barely has any power. Other times it drives just fine. I have replaced so many things on it and nothing makes a difference for very long.
it drives just fine. I have replaced so many things on it and nothing makes a difference for very long.,Sorry to hear that. I hope you find what is the problem with the engine.
I found myself divorced a few years ago_comma_ and for the first time in my life_comma_ I was living alone.,I felt sad and depressed due to my insecurities and felt rejected from society
life_comma_ I was living alone. <sep> I felt sad and depressed due to my insecurities and felt rejected from society,Yes_comma_ I felt that way for a while. But then I grew used to the solitude.
rejected from society <sep> Yes_comma_ I felt that way for a while. But then I grew used to the solitude.,The problem is I don't think you can grew out of my specific insecurity.
felt proud when I had accomplished a dream that I wanted to do for a long time. It was absailing!!,I'm not familiar with abseiling_comma_ but I'm glad that you felt good about it.
long time. It was absailing!! <sep> I'm not familiar with abseiling_comma_ but I'm glad that you felt good about it.,absailing_comma_ its when you rappeling down a building. What have you down that amazing?
you felt good about it. <sep> absailing_comma_ its when you rappeling down a building. What have you down that amazing?,Oh_comma_ I see. No_comma_ I've never done that.
you rappeling down a building. What have you down that amazing? <sep> Oh_comma_ I see. No_comma_ I've never done that.,so what have you done?
Hello,Hello! I am in such a good mood since I got my new home.
Hello <sep> Hello! I am in such a good mood since I got my new home.,Funny - we just built a house where we used to go camping when I was a kid. 
<sep> Funny - we just built a house where we used to go camping when I was a kid. ,I have a ton of backyard space that we have plans for. Camping would be a fun one.
 <sep> I have a ton of backyard space that we have plans for. Camping would be a fun one.,That's wonderful. Do you have any plans to have a fire? 
for. Camping would be a fun one. <sep> That's wonderful. Do you have any plans to have a fire? ,I want to look in to getting a nice fire pit for the house.
Planning out my new home has turned out to be a blast!,What kind of house are you building? 
out my new home has turned out to be a blast! <sep> What kind of house are you building? ,I just moved in so it is already built. Just working on planning out decorating and appliances and such.
<sep> I just moved in so it is already built. Just working on planning out decorating and appliances and such.,That sounds great. What are you most excited for? 
working on planning out decorating and appliances and such. <sep> That sounds great. What are you most excited for? ,I think I am most excited for all the space I have. I can have friends over and not feel cramped.
I never took a drink before and my friends were all over me to take a drink,Why did you feel guilty for taking a drink?
my friends were all over me to take a drink <sep> Why did you feel guilty for taking a drink?,It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.
was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.
a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.,Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew. 
<sep> Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew. ,Oh yea I can understand that then... Well I am sure you learned your lesson_comma_ right?
mum knew.  <sep> Oh yea I can understand that then... Well I am sure you learned your lesson_comma_ right?,Yeah bad...anyway bye...Thanks for the chat. 
him back by sleeping with a close family friend. I felt guilty and ashamed because it was out of character.,Yeah that sounds really sad. I am sorry for what you went through. 
it was out of character. <sep> Yeah that sounds really sad. I am sorry for what you went through. ,Well I choose to stay and work it out_comma_ but I never told him. It has been 3 years.
<sep> Well I choose to stay and work it out_comma_ but I never told him. It has been 3 years.,Yeah maybe that was a good decision that you made. 
never told him. It has been 3 years. <sep> Yeah maybe that was a good decision that you made. ,Well I thought I would be feel better but because I am not the cheating kind_comma_ I still feel guilty.
up in my new car_comma_ I was very surprised_comma_ i thought I was gonna have to buy my own car,wow_comma_ that was so awesome of them!
surprised_comma_ i thought I was gonna have to buy my own car <sep> wow_comma_ that was so awesome of them!,Yeah it really was_comma_ I am still very thankful of them
<sep> wow_comma_ that was so awesome of them! <sep> Yeah it really was_comma_ I am still very thankful of them,I had to buy my first car and it wasn't until I was 21 that I could afford it. 
thinking a lot about my teen years and early twenties. The friends I had then and the fun we had.,That is where I am still at_comma_ I am scared I will have regrets when I get older
had. <sep> That is where I am still at_comma_ I am scared I will have regrets when I get older,I don'
is where I am still at_comma_ I am scared I will have regrets when I get older <sep> I don',That is good_comma_ I am glad you have no regrets!
ago I spent a lot of time doing research for an article. Then a top journal accepted it for publication.,what was the topic
of time doing research for an article. Then a top journal accepted it for publication. <sep> what was the topic,It was about the medieval poet Geoffrey Chaucer.
top journal accepted it for publication. <sep> what was the topic <sep> It was about the medieval poet Geoffrey Chaucer.,I'm not familiar with him where is he from
topic <sep> It was about the medieval poet Geoffrey Chaucer. <sep> I'm not familiar with him where is he from,He was an English poet in the fourteenth century_comma_
<sep> I'm not familiar with him where is he from <sep> He was an English poet in the fourteenth century_comma_,and how did you learn about him
Do you have any irritating coworkers?,Yes_comma_ I think that everyone does! What about you?
Do you have any irritating coworkers? <sep> Yes_comma_ I think that everyone does! What about you?,yes a few that drive me nuts. the janitor is the worst
think that everyone does! What about you? <sep> yes a few that drive me nuts. the janitor is the worst,That's too bad. Our janitor is very friendly.
a few that drive me nuts. the janitor is the worst <sep> That's too bad. Our janitor is very friendly.,she comes in my office smelling like smoke trying to chat it up rather than do her job. 
Hi_comma_ I broke a statuette offered by grandmother to my sister. It was a very important object for my sister.,Is it not better you replace it with same type of statuette_comma_at a grocery store?
object for my sister. <sep> Is it not better you replace it with same type of statuette_comma_at a grocery store?,No_comma_ it is not possible. It is old statuette given by the mother of my grandmother.
a grocery store? <sep> No_comma_ it is not possible. It is old statuette given by the mother of my grandmother.,The mother of your grand mother _comma_that means your great grand mother ! Well you can search through her archives
I could not tolerate the waiters insensitivity_comma_that's poor service indeed!,What happened?
I could not tolerate the waiters insensitivity_comma_that's poor service indeed! <sep> What happened?,Imagine _comma_I requested a French fries _comma_but was served burger instead!
waiters insensitivity_comma_that's poor service indeed! <sep> What happened? <sep> Imagine _comma_I requested a French fries _comma_but was served burger instead!,It is very bad service. What did you do? Did you complain to the manager?
I left his house_comma_ filled up with his food and disgust. I left his fridge completely empty and feel guilth,That would be hard to do and take courage. 
I left his fridge completely empty and feel guilth <sep> That would be hard to do and take courage. ,Thanks man_comma_ at the heat of the moment I ate due to my flashbacks I was traumised.
courage.  <sep> Thanks man_comma_ at the heat of the moment I ate due to my flashbacks I was traumised.,I could see that happening but sounds like you were super brave.
Hi I was recently on vacation and frightened half to death.,Oh_comma_ my_comma_ what happened?
Hi I was recently on vacation and frightened half to death. <sep> Oh_comma_ my_comma_ what happened?,I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.
what happened? <sep> I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.,I live near the ocean_comma_ so I do understand how this can be. I hope you ran_comma_ very quickly.
<sep> I live near the ocean_comma_ so I do understand how this can be. I hope you ran_comma_ very quickly.,I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories.
quickly. <sep> I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories.,I heard a story of seagulls drowning a man to death.
i was younger_comma_ my mother would always take away my PC because I would always play video games on them.,I was the same way.
always take away my PC because I would always play video games on them. <sep> I was the same way.,Now that I am older though_comma_ my girlfriend tries to take away my Pc. Very rough days in my life.
Now that I am older though_comma_ my girlfriend tries to take away my Pc. Very rough days in my life.,Lol. I take away my daughters now. I guess my mom passed the torch.
rough days in my life. <sep> Lol. I take away my daughters now. I guess my mom passed the torch.,Stop doing that_comma_ it is very important to have a pc. The internet is the future and very many jobs are opening up online.
is very important to have a pc. The internet is the future and very many jobs are opening up online.,She is 13 not at 3am
The internet is the future and very many jobs are opening up online. <sep> She is 13 not at 3am,I think at 3am the mind is truly it's sharpest and can make great content. I do understand the age thing though. Maybe slowly give her more time as she gets older. At 15 to 16 it gets hard to control all together.
One of my friend didn't keep this promise he made to me. I was so angry to him.,What promise didn't he keep?
didn't keep this promise he made to me. I was so angry to him. <sep> What promise didn't he keep?,I was suppose to help me move from my apartment. He didn't come and turned off his cell phone.
<sep> I was suppose to help me move from my apartment. He didn't come and turned off his cell phone.,Wow that sounds like a terrible friend.  I hope he had a good reason for not showing up.
There were times where I was being seduced by a coworker of mine as a married man.,Wow. Did he have kids?
where I was being seduced by a coworker of mine as a married man. <sep> Wow. Did he have kids?,I was the one who was being seduced as the married man.  Good thing I remained committed to my wife and did not cheat.
was being seduced as the married man.  Good thing I remained committed to my wife and did not cheat.,Ah ok. Good you stayed committed to your wife.
when they struggle with a topic_comma_ I always take extra time to help them along and make sure they understand,That is very inspiring_comma_ I'm glad you take the extra time. Do you like doing what you do?
understand <sep> That is very inspiring_comma_ I'm glad you take the extra time. Do you like doing what you do?,I like it very much_comma_ seeing a kid grasp a new concept and very quickly and finding effective ways to do it is a blast.
seeing a kid grasp a new concept and very quickly and finding effective ways to do it is a blast.,That is awesome_comma_ thanks for taking the time to help kids grasp a new language! You deserve to be appreciated_comma_ but I'm sure they appreciate you a lot.
16 years had to be put down. this was years ago but it still makes me sad to this day.,That is heartbreaking_comma_ it's always helped me to remember that no matter what happens_comma_ you have your memories with them.
That is heartbreaking_comma_ it's always helped me to remember that no matter what happens_comma_ you have your memories with them.,That is true_comma_ we got her when I was 3 years old so I kind of grew up with her_comma_ I'll never forget those memories.
her when I was 3 years old so I kind of grew up with her_comma_ I'll never forget those memories.,Absolutely_comma_ it's a chapter of your life and as long as you have those memories they live on through those memories.
I drove to Dairy Queen but it was closed. ,I'm sorry to hear that.  That must have been frustrating.
to Dairy Queen but it was closed.  <sep> I'm sorry to hear that.  That must have been frustrating.,I just really wanted some ice cream! Now I know their hours_comma_ though.
 That must have been frustrating. <sep> I just really wanted some ice cream! Now I know their hours_comma_ though.,Hopefully you were able to get the ice cream that you wanted in the following days.
One time I had a flat tire and my dad came to help me fix it.,Oh no! Glad your dad was able to help. How did it happen?
came to help me fix it. <sep> Oh no! Glad your dad was able to help. How did it happen?,I ran over a nail in the road.  Now I know not to drive near new houses.
happen? <sep> I ran over a nail in the road.  Now I know not to drive near new houses.,That's some bad luck. I hope it wasn't too much of a hassle.
My kid's birthday are coming up again. It always makes me remember them as babies.,Awe how sweet_comma_ I bet those are good memories
up again. It always makes me remember them as babies. <sep> Awe how sweet_comma_ I bet those are good memories,They are. All the sights and sounds of babies are so precious to remember.
bet those are good memories <sep> They are. All the sights and sounds of babies are so precious to remember.,I agree with that for sure. 
little child my parents told me that we were going to the amusement park and it made me so happy,I bet! That sounds like fun.
we were going to the amusement park and it made me so happy <sep> I bet! That sounds like fun.,It was fun for sure_comma_ all the rides and the food_comma_ it brings back great memories.
sounds like fun. <sep> It was fun for sure_comma_ all the rides and the food_comma_ it brings back great memories.,What sweet memories to hold on to.
sure_comma_ all the rides and the food_comma_ it brings back great memories. <sep> What sweet memories to hold on to.,Have you ever been to the amusement park?
of the US. It was an amazing experience_comma_ and one of the best and most memorable things I've ever done.,That's awesome! How helpful where the other people so that you could enjoy your trip?
things I've ever done. <sep> That's awesome! How helpful where the other people so that you could enjoy your trip?,My wife was amazing. She booked the whole trip for us_comma_ and planned out some things for us to do while we were there. The person's house we stayed at was also really great_comma_ and helped us find our way around Auckland.
were there. The person's house we stayed at was also really great_comma_ and helped us find our way around Auckland.,Must have been super fun. How were the local people? How did they treat you?
our way around Auckland. <sep> Must have been super fun. How were the local people? How did they treat you?,Super nice_comma_ the locals were always willing to help us navigate around_comma_ and had great recommendations for things to try while we were there.
were always willing to help us navigate around_comma_ and had great recommendations for things to try while we were there.,That's great! Im glad that they took care of you! Have a gret day!
Onnce I had to take care of my cousin who had an ailing stomach,I'm sorry to hear that. Do you know what caused it?
of my cousin who had an ailing stomach <sep> I'm sorry to hear that. Do you know what caused it?,Apparently he ate something and slept immediately
<sep> I'm sorry to hear that. Do you know what caused it? <sep> Apparently he ate something and slept immediately,I've done that to myself before. Now I always wait awhile to sleep after eating.
something and slept immediately <sep> I've done that to myself before. Now I always wait awhile to sleep after eating.,Yeah I had to tell him either to sleep first for a bit than eat. Or eat at first and wait an hour
I felt afraid. Still i remember it,What were you afraid of? 
I felt afraid. Still i remember it <sep> What were you afraid of? ,Two years ago_comma_ i was admitted in hospital. I was ill
it <sep> What were you afraid of?  <sep> Two years ago_comma_ i was admitted in hospital. I was ill,Oh No_comma_ well glad to see you are here still! 
i was admitted in hospital. I was ill <sep> Oh No_comma_ well glad to see you are here still! ,Luckily
We have a new manager at work and it isnt going well. ,what is your job position?
We have a new manager at work and it isnt going well.  <sep> what is your job position?,I do sales work_comma_ but he always lies to us and takes our bonus money. 
your job position? <sep> I do sales work_comma_ but he always lies to us and takes our bonus money. ,That's very bad
